launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
17263,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_rec_rbs_ga.json,PASSED,0.00,2022-04-09 21:45:38,54.83333333,32_wp_ms1-20_rec_rbs_ga.json,321,1
17233,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_sing_cart_ea.json,PASSED,0.00,2022-04-09 21:29:09,88.125,32_wp_ms1-20_sing_cart_ea.json,381,1
17243,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_sing_cart_ga.json,PASSED,0.00,2022-04-09 21:35:10,41.125,32_wp_ms1-20_sing_cart_ga.json,361,2
17213,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_sing_rbs_ea.json,PASSED,0.00,2022-04-09 21:15:41,23.5,32_wp_ms1-20_sing_rbs_ea.json,274,1
17223,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ms1-20_sing_rbs_ga.json,TLE,0.00,2022-04-09 21:22:48,89.10416667,32_wp_ms1-20_sing_rbs_ga.json,426,3
17353,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_rec_cart_ea.json,PASSED,0.00,2022-04-09 22:48:33,66.58333333,32_wp_p20-1_rec_cart_ea.json,538,2
17363,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_rec_cart_ga.json,PASSED,0.00,2022-04-09 22:54:38,44.0625,32_wp_p20-1_rec_cart_ga.json,365,1
17333,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_rec_rbs_ea.json,TLE,0.00,2022-04-09 22:32:43,89.10416667,32_wp_p20-1_rec_rbs_ea.json,353,2
17343,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_rec_rbs_ga.json,TLE,0.00,2022-04-09 22:39:35,89.10416667,32_wp_p20-1_rec_rbs_ga.json,412,2
17313,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_sing_cart_ea.json,PASSED,0.00,2022-04-09 22:20:06,12.72916667,32_wp_p20-1_sing_cart_ea.json,434,2
17323,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_sing_cart_ga.json,PASSED,0.00,2022-04-09 22:26:49,16.64583333,32_wp_p20-1_sing_cart_ga.json,402,2
17293,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_sing_rbs_ea.json,PASSED,0.00,2022-04-09 22:05:45,80.29166667,32_wp_p20-1_sing_rbs_ea.json,452,1
17303,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p20-1_sing_rbs_ga.json,TLE,0.00,2022-04-09 22:12:52,89.10416667,32_wp_p20-1_sing_rbs_ga.json,426,2
17433,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_rec_cart_ea.json,PASSED,0.00,2022-04-09 23:41:47,80.29166667,32_wp_p5-4_rec_cart_ea.json,425,2
17443,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_rec_cart_ga.json,TLE,0.00,2022-04-09 23:47:42,89.10416667,32_wp_p5-4_rec_cart_ga.json,355,2
17413,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_rec_rbs_ea.json,TLE,0.00,2022-04-09 23:28:45,89.10416667,32_wp_p5-4_rec_rbs_ea.json,386,2
17423,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_rec_rbs_ga.json,PASSED,0.00,2022-04-09 23:34:42,64.625,32_wp_p5-4_rec_rbs_ga.json,357,1
17393,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_sing_cart_ea.json,TLE,0.00,2022-04-09 23:16:17,89.10416667,32_wp_p5-4_sing_cart_ea.json,427,2
17403,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_sing_cart_ga.json,PASSED,0.00,2022-04-09 23:22:19,78.33333333,32_wp_p5-4_sing_cart_ga.json,362,1
17373,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_sing_rbs_ea.json,TLE,0.00,2022-04-09 23:01:50,89.10416667,32_wp_p5-4_sing_rbs_ea.json,432,3
17383,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_p5-4_sing_rbs_ga.json,TLE,0.00,2022-04-09 23:09:10,89.10416667,32_wp_p5-4_sing_rbs_ga.json,440,2
17513,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_rec_cart_ea.json,PASSED,0.00,2022-04-10 00:28:11,47,32_wp_ps5-4_rec_cart_ea.json,362,2
17523,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_rec_cart_ga.json,TLE,0.00,2022-04-10 00:35:38,89.10416667,32_wp_ps5-4_rec_cart_ga.json,446,3
17493,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_rec_rbs_ea.json,PASSED,0.00,2022-04-10 00:16:57,31.33333333,32_wp_ps5-4_rec_rbs_ea.json,285,1
17503,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_rec_rbs_ga.json,PASSED,0.00,2022-04-10 00:22:08,42.10416667,32_wp_ps5-4_rec_rbs_ga.json,310,1
17473,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_sing_cart_ea.json,TLE,0.00,2022-04-10 00:05:50,89.10416667,32_wp_ps5-4_sing_cart_ea.json,316,2
17483,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_sing_cart_ga.json,PASSED,0.00,2022-04-10 00:12:12,39.16666667,32_wp_ps5-4_sing_cart_ga.json,382,2
17453,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_sing_rbs_ea.json,PASSED,0.00,2022-04-09 23:54:05,9.791666667,32_wp_ps5-4_sing_rbs_ea.json,383,2
17463,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_ps5-4_sing_rbs_ga.json,TLE,0.00,2022-04-10 00:00:34,89.10416667,32_wp_ps5-4_sing_rbs_ga.json,389,3
17113,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_rec_cart_ea.json,TLE,0.00,2022-04-09 20:15:00,89.10416667,32_wp_s1-21_rec_cart_ea.json,400,2
17123,m21-u1m,sat_Circuit_multiplier22.cnf,32_wp_s1-21_rec_cart_ga.json,PASSED,0.00,2022-04-09 20:22:14,70.5,32_wp_s1-21_rec_cart_ga.json,434,1
