Duration: 300
step,size,rho,fit
504,12,0.989,14
505,12,0.989,14
506,12,0.989,14
507,12,0.989,14
508,12,0.989,14
509,13,0.993,13.9
510,13,0.993,13.9
511,13,0.993,13.9
512,13,0.993,13.9
513,13,0.993,13.9
514,13,0.993,13.9
515,13,0.993,13.9
516,13,0.993,13.9
517,13,0.993,13.9
518,13,0.993,13.9
519,13,0.993,13.9
520,13,0.993,13.9
521,13,0.993,13.9
522,13,0.993,13.9
523,13,0.993,13.9
524,13,0.993,13.9
525,13,0.993,13.9
526,13,0.993,13.9
527,13,0.993,13.9
528,13,0.993,13.9
529,13,0.993,13.9
530,13,0.993,13.9
531,13,0.993,13.9
532,13,0.993,13.9
533,13,0.993,13.9
534,13,0.993,13.9
535,13,0.993,13.9
536,13,0.993,13.9
537,13,0.993,13.9
538,13,0.993,13.9
539,13,0.993,13.9
540,13,0.993,13.9
541,13,0.993,13.9
542,13,0.993,13.9
543,13,0.993,13.9
544,13,0.993,13.9
545,13,0.993,13.9
546,13,0.993,13.9
547,13,0.993,13.9
548,13,0.993,13.9
549,13,0.993,13.9
550,13,0.993,13.9
551,13,0.993,13.9
552,13,0.993,13.9
553,13,0.993,13.9
554,13,0.993,13.9
555,13,0.993,13.9
556,13,0.993,13.9
557,13,0.993,13.9
558,13,0.993,13.9
559,13,0.993,13.9
560,13,0.993,13.9
561,13,0.993,13.9
562,13,0.993,13.9
563,13,0.993,13.9
564,13,0.993,13.9
565,13,0.993,13.9
566,13,0.993,13.9
567,13,0.993,13.9
568,13,0.993,13.9
569,13,0.993,13.9
570,13,0.993,13.9
571,13,0.993,13.9
572,13,0.993,13.9
573,13,0.993,13.9
574,13,0.993,13.9
575,13,0.993,13.9
576,13,0.993,13.9
577,13,0.993,13.9
578,13,0.993,13.9
579,13,0.993,13.9
580,13,0.993,13.9
581,13,0.993,13.9
582,13,0.993,13.9
583,13,0.993,13.9
584,13,0.993,13.9
585,13,0.993,13.9
586,12,0.992,13.6
587,12,0.992,13.6
588,12,0.992,13.6
589,12,0.992,13.6
590,12,0.992,13.6
591,12,0.992,13.6
592,12,0.992,13.6
593,12,0.992,13.6
594,12,0.992,13.6
595,12,0.992,13.6
596,12,0.992,13.6
597,12,0.992,13.6
598,12,0.992,13.6
599,12,0.992,13.6
600,12,0.992,13.6
601,12,0.992,13.6
602,12,0.992,13.6
603,12,0.992,13.6
604,12,0.992,13.6
605,12,0.992,13.6
606,12,0.992,13.6
607,12,0.992,13.6
608,12,0.992,13.6
609,12,0.992,13.6
610,12,0.992,13.6
611,12,0.992,13.6
612,12,0.992,13.6
613,12,0.992,13.6
614,12,0.992,13.6
615,12,0.992,13.6
616,12,0.992,13.6
617,12,0.992,13.6
618,12,0.992,13.6
619,12,0.992,13.6
620,12,0.992,13.6
621,12,0.992,13.6
622,12,0.992,13.6
623,12,0.992,13.6
624,12,0.992,13.6
625,12,0.992,13.6
626,12,0.992,13.6
627,12,0.992,13.6
628,12,0.992,13.6
629,12,0.992,13.6
630,12,0.992,13.6
631,12,0.992,13.6
632,12,0.992,13.6
633,12,0.992,13.6
634,12,0.992,13.6
635,12,0.992,13.6
636,12,0.992,13.6
637,12,0.992,13.6
638,12,0.992,13.6
639,12,0.992,13.6
640,12,0.992,13.6
641,12,0.992,13.6
642,12,0.992,13.6
643,12,0.992,13.6
644,12,0.992,13.6
