Duration: 300
step,size,rho,fit
563,13,0.982,14.7
564,13,0.982,14.7
565,13,0.982,14.7
566,13,0.982,14.7
567,13,0.982,14.7
568,13,0.982,14.7
569,13,0.982,14.7
570,13,0.982,14.7
571,13,0.982,14.7
572,13,0.982,14.7
573,13,0.982,14.7
574,13,0.982,14.7
575,13,0.982,14.7
576,13,0.982,14.7
577,13,0.982,14.7
578,13,0.982,14.7
579,13,0.982,14.7
580,13,0.982,14.7
581,13,0.982,14.7
582,13,0.982,14.7
583,13,0.982,14.7
584,13,0.982,14.7
585,13,0.982,14.7
586,13,0.982,14.7
587,13,0.982,14.7
588,13,0.982,14.7
589,13,0.982,14.7
590,13,0.982,14.7
591,13,0.982,14.7
592,13,0.982,14.7
593,13,0.982,14.7
594,13,0.982,14.7
595,13,0.982,14.7
596,13,0.982,14.7
597,13,0.982,14.7
598,13,0.982,14.7
599,13,0.982,14.7
600,13,0.982,14.7
601,13,0.982,14.7
602,13,0.982,14.7
603,13,0.982,14.7
604,13,0.982,14.7
605,13,0.982,14.7
606,13,0.982,14.7
607,13,0.982,14.7
608,13,0.982,14.7
609,13,0.982,14.7
610,13,0.982,14.7
611,13,0.982,14.7
612,13,0.982,14.7
613,13,0.982,14.7
614,13,0.982,14.7
615,13,0.982,14.7
616,13,0.982,14.7
617,13,0.982,14.7
618,13,0.982,14.7
619,13,0.982,14.7
620,13,0.982,14.7
621,13,0.982,14.7
622,13,0.982,14.7
623,13,0.982,14.7
624,13,0.982,14.7
625,13,0.982,14.7
626,13,0.982,14.7
627,13,0.982,14.7
628,13,0.982,14.7
629,13,0.982,14.7
630,13,0.982,14.7
631,13,0.982,14.7
632,13,0.982,14.7
633,13,0.982,14.7
634,13,0.982,14.7
635,13,0.982,14.7
636,13,0.982,14.7
637,13,0.982,14.7
638,13,0.982,14.7
639,13,0.982,14.7
640,13,0.982,14.7
641,13,0.982,14.7
642,13,0.982,14.7
643,13,0.982,14.7
644,13,0.982,14.7
645,13,0.982,14.7
646,13,0.982,14.7
647,13,0.982,14.7
648,13,0.982,14.7
649,13,0.982,14.7
650,13,0.982,14.7
651,13,0.982,14.7
652,13,0.982,14.7
653,13,0.982,14.7
654,13,0.982,14.7
655,13,0.982,14.7
656,13,0.982,14.7
657,13,0.982,14.7
658,13,0.982,14.7
659,13,0.982,14.7
660,13,0.982,14.7
661,13,0.982,14.7
662,13,0.982,14.7
663,13,0.982,14.7
664,13,0.982,14.7
665,13,0.982,14.7
666,13,0.982,14.7
667,13,0.982,14.7
668,13,0.982,14.7
669,13,0.982,14.7
670,13,0.982,14.7
671,13,0.982,14.7
672,13,0.982,14.7
673,13,0.982,14.7
674,13,0.982,14.7
675,13,0.982,14.7
676,13,0.982,14.7
677,13,0.982,14.7
678,13,0.982,14.7
679,13,0.982,14.7
680,13,0.982,14.7
681,13,0.982,14.7
682,13,0.982,14.7
683,13,0.982,14.7
684,13,0.982,14.7
685,13,0.982,14.7
686,13,0.982,14.7
687,13,0.982,14.7
688,13,0.982,14.7
689,13,0.982,14.7
690,13,0.982,14.7
691,13,0.982,14.7
692,13,0.982,14.7
693,13,0.982,14.7
694,13,0.982,14.7
695,13,0.982,14.7
696,13,0.982,14.7
697,13,0.982,14.7
698,13,0.982,14.7
699,13,0.982,14.7
700,13,0.982,14.7
701,13,0.982,14.7
702,13,0.982,14.7
703,13,0.982,14.7
704,13,0.982,14.7
705,13,0.982,14.7
706,13,0.982,14.7
707,13,0.982,14.7
708,13,0.982,14.7
709,13,0.982,14.7
710,13,0.982,14.7
711,13,0.982,14.7
712,13,0.982,14.7
713,13,0.982,14.7
714,13,0.982,14.7
715,13,0.982,14.7
716,13,0.982,14.7
717,13,0.982,14.7
718,13,0.982,14.7
719,13,0.982,14.7
720,13,0.982,14.7
721,13,0.982,14.7
722,13,0.982,14.7
723,13,0.982,14.7
724,13,0.982,14.7
725,13,0.982,14.7
726,13,0.982,14.7
727,13,0.982,14.7
728,13,0.982,14.7
729,13,0.982,14.7
730,13,0.982,14.7
731,13,0.982,14.7
732,13,0.982,14.7
733,13,0.982,14.7
734,13,0.982,14.7
735,13,0.982,14.7
736,13,0.982,14.7
737,13,0.982,14.7
738,13,0.982,14.7
739,13,0.982,14.7
740,13,0.982,14.7
741,13,0.982,14.7
742,13,0.982,14.7
743,13,0.982,14.7
744,13,0.982,14.7
745,13,0.982,14.7
746,13,0.982,14.7
747,13,0.982,14.7
748,13,0.982,14.7
