Duration: 300
step,size,rho,fit
578,12,0.996,13
579,12,0.996,13
580,12,0.996,13
581,12,0.996,13
582,12,0.996,13
583,12,0.996,13
584,12,0.996,13
585,12,0.996,13
586,12,0.996,13
587,12,0.996,13
588,12,0.996,13
589,12,0.996,13
590,12,0.996,13
591,12,0.996,13
592,12,0.996,13
593,12,0.996,13
594,12,0.996,13
595,12,0.996,13
596,12,0.996,13
597,12,0.996,13
598,12,0.996,13
599,12,0.996,13
600,12,0.996,13
601,12,0.996,13
602,12,0.996,13
603,12,0.996,13
604,12,0.996,13
605,12,0.996,13
606,12,0.996,13
607,12,0.996,13
608,12,0.996,13
609,12,0.996,13
610,12,0.996,13
611,12,0.996,13
612,12,0.996,13
613,12,0.996,13
614,12,0.996,13
615,12,0.996,13
616,12,0.996,13
617,12,0.996,13
618,12,0.996,13
619,12,0.996,13
620,12,0.996,13
621,12,0.996,13
622,12,0.996,13
623,12,0.996,13
624,12,0.996,13
625,12,0.996,13
626,12,0.996,13
627,12,0.996,13
628,12,0.996,13
629,12,0.996,13
630,12,0.996,13
631,12,0.996,13
632,12,0.996,13
633,12,0.996,13
634,12,0.996,13
635,12,0.996,13
636,12,0.996,13
637,12,0.996,13
638,12,0.996,13
639,12,0.996,13
640,12,0.996,13
641,12,0.996,13
642,12,0.996,13
643,12,0.996,13
644,12,0.996,13
645,12,0.996,13
646,12,0.996,13
647,12,0.996,13
648,12,0.996,13
649,12,0.996,13
650,12,0.996,13
651,12,0.996,13
652,12,0.996,13
653,12,0.996,13
654,12,0.996,13
655,12,0.996,13
656,12,0.996,13
657,12,0.996,13
658,12,0.996,13
659,12,0.996,13
660,12,0.996,13
661,12,0.996,13
662,12,0.996,13
663,12,0.996,13
664,12,0.996,13
665,12,0.996,13
666,12,0.996,13
667,12,0.996,13
668,12,0.996,13
669,12,0.996,13
670,12,0.996,13
671,12,0.996,13
672,12,0.996,13
673,12,0.996,13
674,12,0.996,13
675,12,0.996,13
676,12,0.996,13
677,12,0.996,13
678,12,0.996,13
679,12,0.996,13
680,12,0.996,13
681,12,0.996,13
682,12,0.996,13
683,12,0.996,13
684,12,0.996,13
685,12,0.996,13
686,12,0.996,13
687,12,0.996,13
688,12,0.996,13
689,12,0.996,13
690,12,0.996,13
691,12,0.996,13
692,12,0.996,13
693,12,0.996,13
694,12,0.996,13
695,12,0.996,13
696,12,0.996,13
697,12,0.996,13
698,12,0.996,13
699,12,0.996,13
700,12,0.996,13
701,12,0.996,13
702,12,0.996,13
703,12,0.996,13
704,12,0.996,13
705,12,0.996,13
706,12,0.996,13
707,12,0.996,13
708,12,0.996,13
709,12,0.996,13
710,12,0.996,13
711,12,0.996,13
712,12,0.996,13
713,12,0.996,13
714,12,0.996,13
715,12,0.996,13
716,12,0.996,13
717,12,0.996,13
718,12,0.996,13
719,12,0.996,13
720,12,0.996,13
721,12,0.996,13
722,12,0.996,13
723,12,0.996,13
724,12,0.996,13
725,12,0.996,13
726,12,0.996,13
727,12,0.996,13
728,12,0.996,13
729,12,0.996,13
730,12,0.996,13
731,12,0.996,13
732,12,0.996,13
733,12,0.996,13
734,12,0.996,13
735,12,0.996,13
736,12,0.996,13
737,12,0.996,13
738,12,0.996,13
739,12,0.996,13
740,12,0.996,13
741,12,0.996,13
742,12,0.996,13
743,12,0.996,13
744,12,0.996,13
745,12,0.996,13
746,12,0.996,13
747,12,0.996,13
748,12,0.996,13
749,12,0.996,13
750,12,0.996,13
751,12,0.996,13
752,12,0.996,13
753,12,0.996,13
754,12,0.996,13
755,12,0.996,13
756,12,0.996,13
757,12,0.996,13
758,12,0.996,13
759,12,0.996,13
760,12,0.996,13
761,12,0.996,13
762,12,0.996,13
763,12,0.996,13
764,12,0.996,13
765,12,0.996,13
766,12,0.996,13
767,12,0.996,13
768,12,0.996,13
769,12,0.996,13
770,12,0.996,13
771,12,0.996,13
772,12,0.996,13
773,12,0.996,13
774,12,0.996,13
775,12,0.996,13
776,12,0.996,13
777,12,0.996,13
778,12,0.996,13
779,12,0.996,13
780,12,0.996,13
781,12,0.996,13
782,12,0.996,13
783,12,0.996,13
784,12,0.996,13
785,12,0.996,13
786,12,0.996,13
787,12,0.996,13
788,12,0.996,13
789,12,0.996,13
790,12,0.996,13
791,12,0.996,13
792,12,0.996,13
793,12,0.996,13
794,12,0.996,13
795,12,0.996,13
796,12,0.996,13
797,12,0.996,13
798,12,0.996,13
799,12,0.996,13
800,12,0.996,13
801,12,0.996,13
802,12,0.996,13
803,12,0.996,13
804,12,0.996,13
805,12,0.996,13
806,12,0.996,13
807,12,0.996,13
808,12,0.996,13
809,12,0.996,13
810,12,0.996,13
811,12,0.996,13
