Duration: 300
step,size,rho,fit
499,14,0.958,15.9
500,14,0.958,15.9
501,14,0.958,15.9
502,14,0.958,15.9
503,14,0.958,15.9
504,14,0.958,15.9
505,14,0.958,15.9
506,14,0.958,15.9
507,14,0.958,15.9
508,14,0.958,15.9
509,14,0.958,15.9
510,14,0.958,15.9
511,14,0.958,15.9
512,14,0.958,15.9
513,14,0.958,15.9
514,14,0.958,15.9
515,14,0.958,15.9
516,14,0.958,15.9
517,14,0.958,15.9
518,14,0.958,15.9
519,14,0.958,15.9
520,14,0.958,15.9
521,14,0.958,15.9
522,14,0.958,15.9
523,14,0.958,15.9
524,14,0.958,15.9
525,14,0.958,15.9
526,14,0.958,15.9
527,14,0.958,15.9
528,14,0.958,15.9
529,14,0.958,15.9
530,14,0.958,15.9
531,14,0.958,15.9
532,14,0.958,15.9
533,14,0.958,15.9
534,14,0.958,15.9
535,14,0.958,15.9
536,14,0.958,15.9
537,14,0.958,15.9
538,14,0.958,15.9
539,14,0.958,15.9
540,14,0.958,15.9
541,14,0.958,15.9
542,14,0.958,15.9
543,14,0.958,15.9
544,14,0.958,15.9
545,14,0.958,15.9
546,14,0.958,15.9
547,14,0.958,15.9
548,14,0.958,15.9
549,14,0.958,15.9
550,14,0.958,15.9
551,14,0.958,15.9
552,14,0.958,15.9
553,14,0.958,15.9
554,14,0.958,15.9
555,14,0.958,15.9
556,14,0.958,15.9
557,14,0.958,15.9
558,14,0.958,15.9
559,14,0.958,15.9
560,14,0.958,15.9
561,14,0.958,15.9
562,14,0.958,15.9
563,14,0.958,15.9
564,14,0.958,15.9
565,14,0.958,15.9
566,14,0.958,15.9
567,14,0.958,15.9
568,14,0.958,15.9
569,14,0.958,15.9
570,14,0.958,15.9
571,14,0.958,15.9
572,14,0.958,15.9
573,14,0.958,15.9
574,14,0.958,15.9
575,14,0.959,15.8
576,14,0.959,15.8
577,14,0.959,15.8
578,14,0.959,15.8
579,14,0.959,15.8
580,14,0.959,15.8
581,14,0.959,15.8
582,14,0.959,15.8
583,14,0.959,15.8
584,14,0.959,15.8
585,14,0.959,15.8
586,14,0.959,15.8
587,14,0.959,15.8
588,14,0.959,15.8
589,14,0.959,15.8
590,14,0.959,15.8
591,14,0.959,15.8
592,14,0.959,15.8
593,14,0.959,15.8
594,14,0.959,15.8
595,14,0.959,15.8
596,14,0.959,15.8
597,14,0.959,15.8
598,14,0.959,15.8
599,14,0.959,15.8
600,14,0.959,15.8
601,14,0.959,15.8
602,14,0.959,15.8
603,14,0.959,15.8
604,14,0.959,15.8
605,14,0.959,15.8
606,14,0.959,15.8
607,14,0.959,15.8
608,14,0.959,15.8
609,14,0.959,15.8
610,14,0.959,15.8
611,14,0.959,15.8
612,14,0.959,15.8
613,14,0.959,15.8
614,14,0.959,15.8
615,14,0.959,15.8
616,14,0.959,15.8
617,14,0.959,15.8
618,14,0.959,15.8
619,14,0.959,15.8
620,14,0.959,15.8
621,14,0.959,15.8
622,14,0.959,15.8
623,14,0.959,15.8
624,14,0.959,15.8
625,14,0.959,15.8
626,14,0.959,15.8
627,14,0.959,15.8
628,14,0.959,15.8
629,14,0.959,15.8
630,14,0.959,15.8
631,14,0.959,15.8
632,14,0.959,15.8
633,14,0.959,15.8
634,14,0.959,15.8
635,14,0.959,15.8
636,14,0.959,15.8
637,14,0.959,15.8
638,14,0.959,15.8
639,14,0.959,15.8
640,14,0.959,15.8
641,14,0.959,15.8
642,14,0.959,15.8
643,14,0.959,15.8
644,14,0.959,15.8
645,14,0.959,15.8
646,14,0.959,15.8
647,14,0.959,15.8
648,14,0.959,15.8
649,14,0.959,15.8
650,14,0.959,15.8
651,14,0.959,15.8
652,14,0.959,15.8
653,14,0.959,15.8
654,14,0.959,15.8
655,14,0.959,15.8
656,14,0.959,15.8
657,14,0.959,15.8
658,14,0.959,15.8
659,14,0.959,15.8
660,14,0.959,15.8
661,14,0.959,15.8
662,14,0.959,15.8
663,14,0.959,15.8
664,14,0.959,15.8
665,14,0.959,15.8
666,14,0.959,15.8
667,14,0.959,15.8
668,14,0.959,15.8
669,14,0.959,15.8
670,14,0.959,15.8
671,14,0.959,15.8
672,14,0.959,15.8
673,14,0.959,15.8
674,14,0.959,15.8
675,14,0.959,15.8
676,14,0.959,15.8
677,14,0.959,15.8
678,14,0.959,15.8
679,14,0.959,15.8
680,14,0.959,15.8
681,14,0.959,15.8
682,14,0.959,15.8
683,14,0.959,15.8
684,14,0.959,15.8
685,14,0.959,15.8
686,14,0.959,15.8
687,14,0.959,15.8
688,14,0.959,15.8
689,14,0.959,15.8
690,14,0.959,15.8
691,14,0.959,15.8
